Start Time,End Time,Transcript（原版本参考，勿删改）,改正版本,如有译文可提供请填写在这里
00:10:30:07,00:10:31:18,It's best to do at home. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:31:18,00:10:33:10,That way you can save your money ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:33:10,00:10:35:09,and get to do it tomorrow again. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:35:09,00:10:36:05,"But if you go to jail, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:36:05,00:10:38:06,you're going to spend that money  you get out on. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:38:06,00:10:41:07,Then are you gonna have a hangover and broke for not listening to your daddy?,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:47:10,00:12:47:29,Mm hmm. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:47:29,00:12:49:04,Country music ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:49:04,00:12:53:18,from before country turned into twangy pop sung by frat boys.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:54:26,00:12:57:09,This is rebel radio,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:57:09,00:12:59:24,Have you ever huffed airplane glue?,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:12:59:24,00:13:02:07,seem like it take you higher and higher test,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:02:07,00:13:04:19,"That would be a contest between them, too",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:04:19,00:13:06:19,one's got wings and one don't.  ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:06:19,00:13:09:00,and the one don't have wings say hi all time,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:09:00,00:13:11:16,no one's got wing crashes,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:11:16,00:13:14:03,Cause it run out of gas. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:14:03,00:13:19:05,"That shit of fry you bring when the bag dries on your face, you pass out it man you're a goner",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:13:19:05,00:13:21:26,but the high tests keep you walking taller. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:02:04,00:16:04:18,Well the white liquor is the best cause it's first,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:04:18,00:16:06:28,"but if it's over 180, it's ....",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:06:28,00:16:09:07,just better than all the rest of the regular liquor,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:09:07,00:16:10:08,"And it's good whiskey, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:10:08,00:16:12:00,and it's guaranteed to kick butt,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:12:00,00:16:13:26, that trees you gotta put juice with it,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:16:13:26,00:16:16:11,we put grape juice with it called purple jesus,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:41:20,00:18:43:24,And just because you play a guitar ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:43:24,00:18:46:16,don't mean you got to be a sequin  where and said. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:48:18,00:18:50:13,Rebel radio. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:50:13,00:18:53:16,This is a radio station  for people like to party ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:53:16,00:18:55:20,and build bomb farms like myself.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:55:20,00:18:59:03,And I  will give you Jesco's  recipe for a good party. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:18:59:03,00:19:00:11,what you do: ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:00:11,00:19:04:29,starts burning some old furniture you don't have no use for is just dirting up your yard,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:04:29,00:19:06:05,and put it on air ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:06:05,00:19:07:27,And the fire will last all night long ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:07:27,00:19:10:16,you'll get a better buzz instead of going out on the road,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:10:16,00:19:12:10,"you got a taller together, man",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:19:12:10,00:19:16:03,you just start drinking and start rocking and have a ball,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:18:28,00:22:22:05,Because corporate country ain't country.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:22:05,00:22:23:28,It's car break. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:23:28,00:22:26:13,Rebel radio.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:26:13,00:22:28:21,And this is the stories  I want to really tell you. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:28:21,00:22:31:16,You people might believe in UFOs,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:31:16,00:22:32:18,and you might not. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:32:18,00:22:34:07,But seeing is believing. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:34:07,00:22:37:11,I had a barbecue cookout with my friends ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:37:11,00:22:38:22,one went to the shit house,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:38:22,00:22:41:13,and I was on a break smoking me a good doobie,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:41:13,00:22:43:11,which was good as kicking skunk,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:43:11,00:22:45:19,"And I was drinking some that clear water, man. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:45:19,00:22:49:19,and i saw handing were two people here and it was six steaks on the grill,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:49:19,00:22:50:27,I got the thinking,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:50:27,00:22:52:27,No wonder the mother f**kers up are shooting ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:52:27,00:22:55:21,heat all six of them left me one at eight fur,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:55:21,00:22:57:16,"Well, he comes back, I swore",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:57:16,00:22:59:14,and I pray my hand to God ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:22:59:14,00:23:01:18,I did not steal  the rest of those steaks. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:01:18,00:23:04:02,Asked him why you had to go shit for.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:04:02,00:23:06:04,"He says, I promise.  Jesco, I'm your buddy",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:06:04,00:23:07:23,I do not steal all the steaks,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:07:23,00:23:09:23,"Hey, something going on here ain't right. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:09:23,00:23:11:19,"But the alien had stolen them, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:11:19,00:23:14:15,I'm gonna go track that son of a bitch down,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:14:15,00:23:17:29, to find him  that eat my steaks and stole them without asking,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:17:29,00:23:21:04,I'm gonna butcher him up like one and fry his ass,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:21:04,00:23:22:27,I get out in the woods.  I'm for life ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:22:27,00:23:25:25,and I'm all I'm pissed off  because my steaks has gone. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:25:25,00:23:28:08,I had to pay big money for as a dog.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:28:08,00:23:29:27,Who's that son of a bitch ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:29:27,00:23:32:03,who got my goddamn steaks? ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:32:03,00:23:34:06,He looks back at me and that shit.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:34:06,00:23:35:01,"He said, Hey, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:23:35:01,00:23:36:29,you look like  you really want to stick me. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:23:36:29,00:23:38:02,"Oh, I did. ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:23:38:02,00:23:42:07,Cause I can't eat you  unless I get you on the far and cook you ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:23:42:07,00:23:44:01,like that he jumps over in the weeds. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:23:44:01,00:23:48:04,stay out and be carried out ain't nothing this hollow worth dying for us they ought to be carried out,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:23:48:04,00:23:49:08,No trespassing.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:27:05,00:26:31:00,This is  my advice on how to please a woman.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:31:00,00:26:32:22,Don't ever argue with him ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:32:22,00:26:35:09,because you won't have a chance get your word in. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:35:09,00:26:38:05,And three times  a husband don't have a chance. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:38:05,00:26:40:00,"Sex, drugs and money. ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:40:00,00:26:41:21,That's all a woman lives for. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:41:21,00:26:43:09,This station is a mind blowing. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:43:09,00:26:45:13,And it takes you  from sadness to happiness. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:45:13,00:26:47:11,And it's a guarantee  to blow your mind. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:47:11,00:26:50:17,"cause jessica feels your heart full of love, and a man full of joy",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:50:17,00:26:53:28,Because when you do see something that pretty you're walking off leaving,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:53:28,00:26:55:05,you will miss it. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:55:05,00:26:58:28,But you won't forget him when he throws his hand back to you. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:26:58:28,00:27:00:09,it is cool as hell man,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:27:00:09,00:27:03:09,it's like letting your horse out of the barn ain't there,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:27:03:09,00:27:06:26,you just hear the horse trotting,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:27:06:26,00:27:08:11,and it's me. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:36:20,00:30:39:00,You never conform.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:39:00,00:30:41:16,Rebel Radio. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:41:16,00:30:43:16,when you got the shits down here,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:43:16,00:30:45:09,in these part of the country's man,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:45:09,00:30:48:21,"north,  south, west to east or west,",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:48:21,00:30:51:29,this is the best way to cure  your balance and get them unlocked,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:51:29,00:30:53:03,Go out ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:53:03,00:30:57:07,and get the biggest tree you can find if you can get your arms around and make sure you do ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:57:07,00:30:59:23,because you want to hold your hands on the other side,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:30:59:23,00:31:02:26,and take ten deep breaths and squeeze that tree ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:31:02:26,00:31:04:17,just as hard as you can. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:31:04:17,00:31:07:09,Then let it out and I guarantee you,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:31:07:09,00:31:10:24,you'll shit  dislocate your newborn baby. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:31:10:24,00:31:14:04,it's the best way to relieve you balance of in law. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:31:14:04,00:31:17:09,He can't find the key.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:34:57:00,00:34:58:12,叛逆电台,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:34:58:12,00:35:00:10,the home of gun control,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:00:10,00:35:04:09,progressive politics and break dancing,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:05:11,00:35:08:17,All of you radio listeners out there,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:08:17,00:35:09:18,horror of yet ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:09:18,00:35:15:14,needs of this to be a good deed and help  to drink more good whiskey,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:15:14,00:35:17:12,and you feel less pain. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:17:12,00:35:18:16,And I guarantee you ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:18:16,00:35:22:10,you can dance and sing and be the happiest person on the planet. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:22:10,00:35:24:04,It don't matter who you are. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:24:04,00:35:26:04,Whatever you do is your business. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:35:26:04,00:35:27:21,"If it makes you happy, do it.",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:38:57:04,00:38:59:04,"Well, turn it up on rebel radio. ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:38:59:04,00:39:00:02,We love you to death ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:00:02,00:39:01:21,because I was born to be war ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:01:21,00:39:04:11,as a rebel child without any calls.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:04:11,00:39:06:23,And I'm drinking  whatever is in front of me. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:06:23,00:39:08:15,cause she left the note on a door,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:08:15,00:39:11:21,You sleeping on the porch? You come home drunk one more time,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:11:21,00:39:13:23,Yes. And good country music going on.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:13:23,00:39:16:07,And I guarantee  you going to love this station. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:39:16:07,00:39:18:15,"This is Rebel Radio, Bless your soul. ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:14:07,00:41:16:09,Wheel country,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:16:09,00:41:19:11,Rebel radio.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:19:11,00:41:21:07,"Well, my daddy told me one time, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:21:07,00:41:23:16,"he said, Son,  you got two heads, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:23:16,00:41:25:23,one between your legs and one on your shoulders. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:25:23,00:41:27:21,And one of them got a lack of sense. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:27:21,00:41:29:07,"And I said, You know why, Daddy? ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:29:07,00:41:31:01,he says well son,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:31:01,00:41:33:11,That’s because i'm living with two nuts,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:41:33:11,00:41:36:08,right around the  corner from an asshole.,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:46:02,00:43:48:19,Because country is go secede,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:48:19,00:43:50:24,Rebel radio,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:50:24,00:43:52:08,i huffed enough gas ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:52:08,00:43:55:28,filled my rocket ship three times power from the space shuttle,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:55:28,00:43:58:00,and a smoke more in the train,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:58:00,00:43:59:28,had hauls out to black gold ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:43:59:28,00:44:02:20,which keeps the lights on in my home ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:44:02:20,00:44:04:04,and food on the table ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:44:04:04,00:44:05:10,"and shoes on my feet, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:44:05:10,00:44:06:20,the code on my back. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:44:06:20,00:44:08:03,"And that's all I get to say, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:44:08:03,00:44:10:27,because that's all I've got left. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:44:21,00:46:46:03,I had a tumor ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:46:03,00:46:47:12,on the right side of my brain ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:47:12,00:46:48:29,and a blood clot on the left. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:48:29,00:46:50:14,And I told the doctor ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:50:14,00:46:52:03,that I had appointment with. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:52:03,00:46:54:08,"He says,  There's not much we can do for you ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:54:08,00:46:56:18,that we can help you with. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:56:18,00:46:58:06,"He said,  because I tell you why, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:46:58:06,00:47:00:18,going in on your brain is a dangerous operation. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:00:18,00:47:04:16,It's a 50/50 chance you might stay and you might get to come back,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:04:16,00:47:05:26,"I said, Well, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:05:26,00:47:07:13,"if you can‘t help me, Doctor, ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:07:13,00:47:09:23,why can't I be my doctor  and help myself ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:09:23,00:47:11:07,and smoke me a miracle ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:11:07,00:47:14:05,joint called the Miracle Pot Marijuana. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:14:05,00:47:17:29,And I smoked that joint which held it in my lungs ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:17:29,00:47:21:21,"and it took oxygen to my brain. Get the tumor, the munchies. ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:21:21,00:47:23:25,And he slides over on the left side ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:23:25,00:47:25:05,and needs to blood clot up ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:25:05,00:47:26:21,and then I get better. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:26:21,00:47:30:10,We got this good contribution that we're already going out of here,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:30:10,00:47:32:07,because we're not stoned to the fact.  ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:32:07,00:47:35:00,"You all people think we're ripped out of frame, sound funny? ",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:35:00,00:47:36:17,Give me a good rebel yell. ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:47:36:17,00:47:38:06,"Hell, yeah.",,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:50:06:20,00:50:08:25,Rebel radio,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:50:08:26,00:50:10:21,Hope y'all getting crazy out here ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:50:10:21,00:50:12:17,because I'm really getting fucked up ,,如有译文可提供，请填写于此
,,,修正文本请输入在这里,
00:50:12:17,00:50:13:28,and ripped out of the frame. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:13:28,00:50:15:19,"I'm 20,000 years old, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:15:19,00:50:17:00,so how could I be wrong? ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:17:00,00:50:19:00,Months a drunk assholes. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:19:00,00:50:22:15,You're going to wake up and wonder what the fuck happened to you? ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:22:15,00:50:24:21,With rebel radio with Jesco,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:50:24:21,00:50:27:15,"Now, how could I be right  if I'm wrong? ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:22:24,00:53:25:03,And this is Rebel radio.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:25:03,00:53:27:27,I'm going to tell you what I'm going to put on my tombstone. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:27:27,00:53:29:23,No more pussy alley. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:29:23,00:53:31:13,No more whiskey I'll drink. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:31:13,00:53:33:11,"On your tombstone, you will read. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:33:11,00:53:34:08,Here lies a legend ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
